Pitch Number,Multiple Entrepreneurs,Entrepreneur 1 Name,Entrepreneur 2 Name,Gender(s),City,State,Industry
1160,True,Kaycee Jones ,Brianne Zborowski,Female,Unknown,Unknown,Lifestyle/Home
1161,True,Beth Zotter ,Amanda Stiles,Female,Unknown,Unknown,Food and Beverage
1162,False,Erika Pope,,Female,Unknown,Unknown,Children/Education
1163,False,Erica Cole,,Female,Unknown,Unknown,Fashion/Beauty
1164,False,Les Cookson,,Male,Unknown,Unknown,Uncertain/Other
1165,False,Meghan Wolfgram,,Female,Unknown,Unknown,Pet Products
1166,True,Steve Skillings ,Conor Smith,Male,Unknown,Unknown,Business Services
1167,False,Shahira Marei,,Female,Unknown,Unknown,Food and Beverage
1168,False,Andrey Grigoryev,,Male,Unknown,Unknown,Pet Products
1169,True,Mindy Wright ,Brandon Wright,Mixed Team,Unknown,Unknown,Children/Education
1170,False,Tony Litwinowicz,,Male,Unknown,Unknown,Fashion/Beauty
1171,True,Intisar Bashir ,Rashid Mahdi,Mixed Team,Unknown,Unknown,Children/Education
1172,True,Jung Song ,Dok Kwon,Male,Unknown,Unknown,Food and Beverage
1173,True,Michael Garrett ,Ryan Duey,Male,Unknown,Unknown,Health/Wellness
1174,True,Josh Conway ,Adam Chaudry,Male,Unknown,Unknown,Food and Beverage
1175,False,Seneca Hampton,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1176,False,Kaitlin Mogentale,,Female,Unknown,Unknown,Food and Beverage
1177,True,Chloe Mae ,Lan Bui,Mixed Team,Unknown,Unknown,Business Services
1178,True,Kun Yank ,Mo Hassoun,Male,Unknown,Unknown,Food and Beverage
1179,False,Mika Bertholdo,,Female,Unknown,Unknown,Fashion/Beauty
1180,True,Devir Kahan ,Jon Shanahan,Male,Unknown,Unknown,Fashion/Beauty
1181,True,Wes Horbatuck ,Greg Orfe,Male,Unknown,Unknown,Business Services
1182,True,Griffin Ross ,Shannon Ross,Mixed Team,Unknown,Unknown,Pet Products
1183,True,Chris Diede, Jake Rutledge,Male,Unknown,Unknown,Liquor/Alcohol
1184,False,Alexiou Gibson,,Male,Unknown,Unknown,Food and Beverage
1185,True,Charles Matthews, Austin Pomerantz,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1186,False,Tony Adeniran,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1187,False,Lucas Bradbury,,Male,Unknown,Unknown,Food and Beverage
1188,True,Stacy Grace ,Jeff Grace,Mixed Team,Unknown,Unknown,Lifestyle/Home
1189,True,Sina ,Nina Farzin,Mixed Team,Unknown,Unknown,Children/Education
1190,False,Tate Koenig,,Male,Unknown,Unknown,Food and Beverage
1191,True,Millie Blumka ,Taylor Borenstein,Female,Unknown,Unknown,Lifestyle/Home
1192,True,Brian Brunsing, Max Brown,Male,Unknown,Unknown,Electronics
1193,False,Braxton Fleming,,Male,Unknown,Unknown,Lifestyle/Home
1194,True,Adrian Zhang ,Justine Tiu,Mixed Team,Unknown,Unknown,Lifestyle/Home
1195,True,Brian Halasinski ,Kirk Hyust,Male,Unknown,Unknown,Food and Beverage
1196,True,Kevin Lane ,Laurie Lane,Mixed Team,Unknown,Unknown,Children/Education
1197,False,Daryl Braithwaite,,Male,Unknown,Unknown,Lifestyle/Home
1198,True,Mama O ,Kheedim Oh,Mixed Team,Unknown,Unknown,Food and Beverage
1199,False,Winston Mok,,Male,Unknown,Unknown,Lifestyle/Home
1200,False,Sofi Seck,,Female,Unknown,Unknown,Lifestyle/Home
1201,False,Melanie Masarin,,Female,Unknown,Unknown,Food and Beverage
1202,True,Sam Chason ,Matt Gronberg,Male,Unknown,Unknown,Children/Education
1203,False,Tracy Slocum,,Female,Unknown,Unknown,Fashion/Beauty
1204,True,Amy Leinbach ,Marlo Leinbach,Female,Unknown,Unknown,Children/Education
1205,True,Yuki Kinoshita ,Noah Silverman,Male,Unknown,Unknown,Lifestyle/Home
1206,True,Charles Young ,Ashley Young  ,Mixed Team,Unknown,Unknown,Fashion/Beauty
1207,False,Sean Adler,,Male,Unknown,Unknown,Food and Beverage
1208,False,Tim Loucks ,,Male,Unknown,Unknown,Food and Beverage
1209,False,Justin Baer,,Male,Unknown,Unknown,Fashion/Beauty
1210,True,Chaz Gates ,Whitney Gates,Mixed Team,Unknown,Unknown,Food and Beverage
1211,True,Donovan Brown ,Trey Brown,Male,Unknown,Unknown,Fashion/Beauty
1212,True,Garret Porter ,Dakota Porter,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1213,False,Mike Gutow,,Male,Unknown,Unknown,Lifestyle/Home
1214,True,Rachel Solomon ,Aaron Menitoff,Mixed Team,Unknown,Unknown,Food and Beverage
1215,True,John ,Joan Creed,Mixed Team,Unknown,Unknown,Lifestyle/Home
1216,False,Bianca Wittenberge,,Female,Unknown,CA,Uncertain/Other
1217,False,Kalaii Griffin II,,Male,Unknown,Unknown,Lifestyle/Home
1218,False,Mark Lin,,Male,Unknown,Unknown,Lifestyle/Home
1219,True,Jeff Wigh ,Adam Roush,Male,Unknown,Unknown,Software/Tech
1220,True,Austin Hillam ,Stephen Fazio,Male,Unknown,Unknown,Children/Education
1221,True,Bill Webster Sr. ,Bill Webster Jr.,Male,Unknown,Unknown,Lifestyle/Home
1222,True,Liz Voelker ,Kristina Barnes,Female,Unknown,Unknown,Lifestyle/Home
1223,False,Samuel Taylor,,Male,Unknown,Unknown,Food and Beverage
1224,True,Xin Wang ,Melissa Colella-Wang,Mixed Team,Unknown,Unknown,Food and Beverage
1225,False,Amrita Saigal,,Female,Unknown,Unknown,Children/Education
1226,True,Lisa Pawlik ,Randall Pawlik,Mixed Team,Unknown,Unknown,Lifestyle/Home
1227,False,Nichole Powell,,Female,Unknown,Unknown,Lifestyle/Home
1228,True,Braxton Davis, MT Strickland,Male,Unknown,Unknown,Health/Wellness
1229,False,Rosa Li,,Female,Unknown,Unknown,Food and Beverage
1230,True,Russell Gong ,Achal Patel,Male,Unknown,Unknown,Health/Wellness
1231,True,Alicia Long ,Dane Turk,Mixed Team,Unknown,Unknown,Lifestyle/Home
1232,False,Juan Ignacio Stewart,,Male,Unknown,Unknown,Food and Beverage
1233,False,Aaron Gailmor,,Male,Unknown,Unknown,Food and Beverage
1234,False,Sandra Velasquez,,Female,Unknown,Unknown,Health/Wellness
1235,False,Laura Lady,,Female,Unknown,Unknown,Lifestyle/Home
1236,False,Tog Samphel,,Male,Unknown,Unknown,Lifestyle/Home
1237,False,Scotty Trujillo,,Male,Unknown,Unknown,Software/Tech
1238,True,Tony Gonzales ,Aaron Gonzales,Male,Unknown,Unknown,Lifestyle/Home
1239,False,Margaret Nyamumbo,,Female,Unknown,Unknown,Food and Beverage
1240,True,Joelle Flynn ,Sonia Hounsell,Female,Unknown,Unknown,Health/Wellness
1241,True,Alan Yeoh ,Amelia Trumble,Mixed Team,Unknown,Unknown,Fashion/Beauty
1242,False,Brittany Lammon,,Female,Unknown,Unknown,Health/Wellness
1243,False,Greg Demirjian,,Male,Unknown,Unknown,Fashion/Beauty
1244,False,Bobbi Peterson,,Female,Unknown,Unknown,Health/Wellness
1245,False,Fiona Co Chan,,Female,Unknown,Unknown,Fashion/Beauty
1246,False,Loria Stern,,Female,Unknown,CA,Lifestyle/Home
1247,False,Arsy Khodabandelou,,Male,Unknown,Unknown,Pet Products
1248,True,Michael Akindele ,Ehime Eigbe,Mixed Team,Unknown,Unknown,Food and Beverage
1249,True,Addie Gundry ,Brittany Hizer,Female,Unknown,Unknown,Children/Education
1250,True,Ken Hoeve, Monique Keefer,Mixed Team,Unknown,Unknown,Automotive
1251,True,Jeremy Carlson ,Kaitlyn Carlson,Mixed Team,Unknown,Unknown,Food and Beverage
1252,True,Mike Cherkezian ,Justin Barad,Male,Unknown,Unknown,Software/Tech
1253,True,Scott Carr ,Bill Pierce,Male,Unknown,Unknown,Automotive
1254,False,Woody Sears,,Male,Unknown,Unknown,Software/Tech
1255,False,Staci Whitman,,Female,Unknown,Unknown,Uncertain/Other
1256,False,Josh Thurmond,,Male,Unknown,CO,Lifestyle/Home
1257,True,Stuart Shapiro ,Peter Shapiro,Male,Unknown,Unknown,Food and Beverage
1258,False,Jordan Stern,,Male,Unknown,Unknown,Food and Beverage
1259,False,Justin Crowe,,Male,Unknown,Unknown,Uncertain/Other
1260,True,Pedro Silva ,Berkeley Luck,Mixed Team,Unknown,Unknown,Children/Education
1261,True,James Baker ,Ashley Sharma,Mixed Team,Unknown,Unknown,Lifestyle/Home
1262,True,Ori Zohar ,Ethan Frisch,Male,Unknown,Unknown,Food and Beverage
1263,False,Kendra Bennet,,Female,Longmont,CO,Food and Beverage
1264,False,Kayla Lupean,,Female,Unknown,Unknown,Children/Education
1265,False,Hector Saldivar,,Male,San Francisco,CA,Food and Beverage
1266,True,Charisse Pasche ,Vicky Pasche,Female,Unknown,Unknown,Fashion/Beauty
1267,True,Hank Watt ,Juliano Bonanni,Male,Unknown,Unknown,Food and Beverage
1268,True,Monique Little ,David Dundas,Mixed Team,Unknown,Unknown,Fashion/Beauty
1269,False,Sophie Nistico,,Female,Unknown,Unknown,Fashion/Beauty
1270,False,Tomo Delaney,,Male,Unknown,Unknown,Food and Beverage
1271,False,Brooke Knaus,,Female,Unknown,Unknown,Fashion/Beauty
1272,False,Tank Sinatra,,Male,Unknown,Unknown,Lifestyle/Home
1273,True,Kenzo Singer ,Mark Singer,Male,Unknown,Unknown,Lifestyle/Home
1274,False,Ashley Jones,,Female,Unknown,Unknown,Fashion/Beauty
1275,True,Ryan Bouton ,Doug Bouton,Male,Unknown,Unknown,Food and Beverage
1276,False,Kristen Dunning,,Female,Athens,GA,Lifestyle/Home
1277,False,Paige Brattin,,Female,Unknown,Unknown,Health/Wellness
1278,True,Kevin Klein ,Josh Green,Male,Unknown,Unknown,Food and Beverage
1279,True,Maurice Huffman ,Miles Huffman,Male,Paradise,CA,Uncertain/Other
1280,False,Valentine Aseyo,,Male,Unknown,Unknown,Fashion/Beauty
1281,True,Micha Truman ,Katey Houstonno,Mixed Team,Unknown,Unknown,Business Services
1282,True,Maria Corina Vieteis, and Maria Fernanda Römer Cabezas,Female,Unknown,Unknown,Food and Beverage
1283,True,Maurice Bachelor ,Joel Griffith,Male,Cleveland,OH,Software/Tech
1284,True,Anastasia ,Arya Alexander,Mixed Team,Los Angeles,CA,Food and Beverage
1285,True,Jon, Gavin,Mixed Team,Orange county,CA,Fitness/Sports/Outdoors
1286,False,Blaine Anderson,,Female,Tucson,AZ,Business Services
1287,True,James ,Johanna Windon,Mixed Team,Unknown,Unknown,Food and Beverage
1288,True,Scott Brown ,Tim Swindle,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1289,False,Mia Murr,,Female,Unknown,NY,Fitness/Sports/Outdoors
1290,True,Kelly Nova ,Ilana Karcinski,Female,Unknown,Unknown,Pet Products
1291,True,Marc Evan ,Chris Soria,Male,Unknown,NY,Uncertain/Other
1292,False,Guy Kitchell,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1293,True,Allison Jornlin ,Mike Huberty,Mixed Team,Madison,WI,Fitness/Sports/Outdoors
1294,False,Annie Leal,,Female,Unknown,Non-US,Food and Beverage
1295,True,Bob Legg ,Keith Lindsey,Male,Unknown,TX,Fitness/Sports/Outdoors
1296,True,Nicholas George ,Kevin MaC,Male,Unknown,PA,Media/Entertainment
1297,False,Jennifer Stein-Bischoff,,Female,Unknown,NY,Fashion/Beauty
1298,False,Jared Waters,,Male,Portland,OR,Uncertain/Other
1299,True,Fletcher, David and Henry Pease,Male,Unknown,Unknown,Fitness/Sports/Outdoors
1300,False,Brandi Dugal,,Female,Unknown,Unknown,Children/Education
1301,True,Jenny Hutt, Stacy Fritz and Andrea Gluck,Female,Unknown,Unknown,Fashion/Beauty
1302,True,Delson ,Zaydon Jeanvilma,Male,Unknown,FL,Food and Beverage
1303,False,Miranda Tompkins,,Female,Unknown,Unknown,Food and Beverage
1304,False,Jonathan Dusing,,Male,Unknown,MN,Media/Entertainment
1305,True,Aurora Weinstock ,Steven Weinstock,Mixed Team,Unknown,Unknown,Children/Education
1306,True,Jasmine Hudson, Madia Willis and J’Aaron Merchant,Female,Unknown,VI,Uncertain/Other
1307,True,Ron Scharman ,Ryan Neergard,Male,Unknown,CA,Liquor/Alcohol
1308,True,Kirsten Maitl,,Mixed Team,Unknown,TX,Food and Beverage
1309,False,Ashlee Turner,,Female,Unknown,Unknown,Fashion/Beauty
1310,True,Taylor Capuano ,Casey Sarai,Female,Unknown,NY,Fashion/Beauty
1311,True,Charlie Cannon, Chris Goodhue,Male,Unknown,UT,Fitness/Sports/Outdoors
1312,False,Stewart Gold,,Male,Unknown,FL,Children/Education
1313,False,Becca Millstein,,Female,Unknown,LA,Food and Beverage
1314,False,Heather Kelly,,Female,Unknown,Unknown,Food and Beverage
1315,True,Allison Lin, Steve Atieh,Mixed Team,Madison,NJ,Food and Beverage
1316,True,Caroline Matthes ,Rose Fierman,Female,Denver,CO,Lifestyle/Home
1317,False,Nathaniel Wellen,,Male,Unknown,CA,Lifestyle/Home
1318,False,Berlyn Haughton,,Female,Fresno,CA,Lifestyle/Home
1319,True,Jay Cutler ,Brandan Fokken,Male,Unknown,Unknown,Pet Products
1320,True,Amanda Siebert, Danny Siebert,Mixed Team,Indianapolis,IN,Children/Education
1321,True,Jess Blakley ,Willow Sprague,Female,Nashville,TN,Liquor/Alcohol
1322,True,Marvin ,Aleah Montague,Mixed Team,Baltimore,MD,Food and Beverage
1323,False,Alexandra Ulmer,,Female,Unknown,Unknown,Lifestyle/Home
1324,False,Ramon Van Meer,,Male,Los Angeles,CA,Pet Products
1325,False,Ali Kaminetsky,,Female,Unknown,NY,Lifestyle/Home
1326,True,Adrienne ,Stephanie Vendetti,Female,Unknown,Unknown,Lifestyle/Home
1327,False,Aabesh De,,Male,Chicago,IL,Software/Tech
1328,True,Rodney ,Tanya Rasmussen,Mixed Team,Unknown,Unknown,Lifestyle/Home
1329,False,Steven Gray,,Male,Seattle,WA,Pet Products
1330,True,Rahmi Massarwah ,Alejandra Vasquez,Mixed Team,San Francisco,CA,Pet Products
1331,False,Justin Huang,,Male,Unknown,Unknown,Lifestyle/Home
1332,False,Aadeel Akhtar,,Male,Chicago,IL,Health/Wellness
1333,True,David Stark ,Joe Wayne,Male,Unknown,FL,Lifestyle/Home
1334,True,Ben Seidman, Anya Babbitt,Mixed Team,San Francisco,CA,Pet Products
1335,False,Jake Deleon,,Male,Unknown,Non-US,Food and Beverage
1335,True,Zach ,Delisa Harper,Mixed Team,Austin,TX,Food and Beverage
1336,False,Samuel Gherman,,Male,Unknown,Unknown,Software/Tech
1337,True,Jeff Feiereisen ,Brett Skaloud,Male,Seattle,WA,Lifestyle/Home
1338,True,Loree Sandler, Bob Michelson,Mixed Team,Chicago,IL,Lifestyle/Home
1339,False,Assaf Pashut,,Male,San Francisco,CA,Electronics
1340,True,Jacqueline ,Jeremy Samuelson,Mixed Team,Unknown,Unknown,Lifestyle/Home
1341,True,Maurizio ,Saphira Rasti,Mixed Team,Unknown,Unknown,Food and Beverage
1342,False,Scott Cramton,,Male,Unknown,Unknown,Uncertain/Other
1343,True,Dan Projansky, Caroline Strzalka,Mixed Team,Unknown,Unknown,Software/Tech
1344,True,Jamie ,Jilea Hemmings,Mixed Team,Unknown,Unknown,Lifestyle/Home
